Alpha,Cl,Cd
-10,-0.8195,0.07577
-9.75,-0.8355,0.07025
-9.5,-0.8519,0.06488
-9.25,-0.8654,0.05977
-9,-0.8743,0.055
-8.75,-0.8723,0.05095
-8.5,-0.8537,0.04867
-8.25,-0.8499,0.04511
-8,-0.8371,0.04218
-7.75,-0.8225,0.03983
-7.5,-0.8044,0.03756
-7.25,-0.7876,0.0354
-7,-0.7691,0.0335
-6.75,-0.7491,0.03186
-6.5,-0.7296,0.03038
-6.25,-0.7105,0.02892
-6,-0.6919,0.02765
-5.75,-0.673,0.02658
-5.5,-0.6548,0.02564
-5.25,-0.6369,0.02482
-5,-0.6195,0.02413
-4.75,-0.6002,0.02367
-4.5,-0.5816,0.02327
-4.25,-0.5628,0.023
-4,-0.5431,0.02285
-3.75,-0.5227,0.02282
-3.5,-0.503,0.02279
-3.25,-0.4793,0.02298
-3,-0.4493,0.02334
-2.75,-0.4085,0.02382
-2.5,-0.35,0.02437
-2.25,-0.2694,0.02476
-2,-0.1829,0.02464
-1.75,-0.1037,0.02407
-1.5,-0.0223,0.02312
-1.25,0.0255,0.0222
-1,0.0285,0.02168
-0.75,0.0275,0.02128
-0.5,0.0225,0.021
-0.25,0.0128,0.02083
0,0,0.02078
0.25,-0.0128,0.02083
0.5,-0.0225,0.02099
0.75,-0.0275,0.02128
1,-0.0285,0.02168
1.25,-0.0255,0.02219
1.5,0.0223,0.02311
1.75,0.1036,0.02406
2,0.1829,0.02463
2.25,0.2694,0.02476
2.5,0.3499,0.02436
2.75,0.4085,0.02382
3,0.4492,0.02334
3.25,0.4792,0.02298
3.5,0.503,0.02279
3.75,0.5227,0.02282
4,0.5431,0.02284
4.25,0.5627,0.023
4.5,0.5816,0.02327
4.75,0.6001,0.02367
5,0.6194,0.02413
5.25,0.6368,0.02482
5.5,0.6547,0.02564
5.75,0.673,0.02658
6,0.6919,0.02765
6.25,0.7105,0.02892
6.5,0.7295,0.03038
6.75,0.7491,0.03186
7,0.7691,0.0335
7.25,0.7876,0.0354
7.5,0.8044,0.03756
7.75,0.8226,0.03983
8,0.8372,0.04218
8.25,0.8499,0.04511
8.5,0.8538,0.04867
8.75,0.8727,0.05094
9,0.8743,0.05501
9.25,0.8655,0.05978
9.5,0.852,0.0649
9.75,0.8357,0.07027
10,0.8198,0.0758
10.25,0.6499,0.10541
10.5,0.6743,0.10839
